Sample,CTTN,HNRNPK,PSMC6
Sample194,0.16,0,0
Sample195,0.16,0.53,0.23
Sample196,0.49,1.68,0.23
Sample197,0.42,0.7,0.87
Sample198,0.53,2.35,0.74
Sample199,0.67,0,0.58
Sample200,0.19,0.03,0
Sample201,0.29,0.56,0.57
Sample202,0.15,0,0.28
Sample203,0.27,2.03,0.48
Sample204,0.16,0,0.52
Sample205,0.16,0,0.24
Sample206,0.16,0,0.22
Sample207,2.18,0.35,0.59
Sample208,0.26,0.52,0.29
Sample209,0.36,0.69,0.61
Sample210,1.56,3.71,0.22
Sample211,0.14,1.05,0.57
Sample212,0.15,0,0
Sample213,0.11,2.27,0.64
Sample214,0.1,1.44,0.47
Sample215,0.11,1.45,0.35
Sample216,0.12,1.72,0.56
Sample217,0.11,0.85,0.62
Sample218,0.12,1.66,0.48
Sample219,0.11,2.69,0.72
Sample220,0.1,0.95,0.37
Sample221,0.1,1.38,0.53
Sample222,0.11,1.63,0.44
Sample223,0.1,1.85,0.48
Sample224,0.11,1.27,1
Sample225,0.12,0.27,0.33
Sample226,0.15,0,0.24
Sample227,1.43,0.55,0.61
Sample228,0.17,0,0.13
Sample229,0.1,0.6,0.45
Sample230,0.12,0.2,0.24
Sample231,0.1,0.2,0.46
Sample232,0.15,0,0.35
Sample233,0.11,1.35,0.52
Sample234,0.12,0.82,0.7
Sample235,0.11,0.12,0.23
Sample236,0.17,0.13,0.03
Sample237,0.11,0.6,0.49
Sample238,0.85,0.54,1.4
Sample239,0.1,1.25,0.68
Sample240,0.16,0.67,0.53
Sample241,0.14,0.18,0.51
